[16:54:53] PUMP    ezo_i2c loaded -- using real EZO-PMP hardware
[16:54:53] SENSOR  ezo_i2c loaded -- using real EZO-pH hardware
[16:54:53] CTRL    reader thread started
 * Serving Flask app "app" (lazy loading)
 * Environment: production
   WARNING: Do not use the development server in a production environment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on http://0.0.0.0:8080/ (Press CTRL+C to quit)
10.0.0.99 - - [19/May/2026 16:55:01] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:55:03] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:55:03] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:55:03] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:55:03] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:55:03] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:55:03] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:55:03] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:55:03] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:55:03] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:55:03] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:55:03] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:55:03] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:55:03] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:55:03] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:55:03] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:55:03] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:55:03] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:55:03] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:55:03] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:55:05] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:55:05] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [19/May/2026 16:55:07] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:55:20] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:55:21] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:55:22] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:55:23] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:55:24] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:55:25] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:55:26] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:55:27] "GET /api/status HTTP/1.1" 200 -
